testdata/9930.png; [(368, 0), (440, 494)], 
testdata/14904.png; [(336, 0), (408, 361)], 
testdata/18983.png; [(24, 0), (120, 190)], 
testdata/19436.png; [(192, 209), (192, 323)], 
testdata/14258.png; [(8, 304), (32, 380)], 
testdata/19512.png; [(248, 0), (248, 57)], 
testdata/5248.png; [(136, 0), (152, 494)], 
testdata/9876.png; [(624, 418), (632, 494)], 
testdata/10033.png; [(632, 361), (632, 418)], 
testdata/14763.png; [(336, 304), (352, 480)], 
testdata/19362.png; [(8, 0), (72, 266)], 
testdata/14591.png; [(432, 323), (480, 494)], [(584, 342), (640, 494)], 
testdata/10186.png; [(272, 437), (280, 480)], 
testdata/19449.png; [(504, 0), (504, 57)], 
testdata/14520.png; [(536, 19), (600, 494)], 
testdata/19052.png; [(104, 76), (152, 437)], [(568, 0), (616, 494)], 
testdata/19188.png; [(360, 0), (376, 95)], 
testdata/14608.png; [(488, 171), (496, 494)], 
testdata/14847.png; [(328, 399), (328, 475)], 
testdata/19030.png; [(56, 342), (56, 399)], 
testdata/14303.png; [(520, 0), (584, 494)], 
testdata/5022.png; [(536, 437), (536, 480)], 
testdata/9986.png; [(192, 0), (272, 494)], 
testdata/5159.png; [(336, 266), (344, 418)], [(512, 418), (544, 494)], 
testdata/19366.png; [(64, 0), (104, 247)], [(160, 0), (160, 152)], 
testdata/4803.png; [(328, 418), (392, 494)], 
testdata/14729.png; [(400, 152), (424, 494)], 
